id,age,agemonths,ageyears,agecat,sex,order,boxtype,trialtype,order2,order3,trialno,side,response,correct,openended
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,pen,1,test,1,L,R,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,pen,1,test,2,R,L,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,pen,1,test,3,R,L,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,pen,1,test,4,L,R,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,pen,1,test,5,R,L,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,pen,1,test,6,L,R,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,pen,1,test,7,L,R,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,pen,1,test,8,R,L,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,sticker,2,transfer,1,R,R,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,sticker,2,transfer,2,L,L,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,sticker,2,transfer,3,L,L,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,sticker,2,transfer,4,R,R,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,sticker,2,transfer,5,R,R,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,sticker,2,transfer,6,L,L,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,sticker,2,transfer,7,R,R,1,incorrect
14,5,62.86842105,5.239035088,five,1,penfirst,blue-right,sticker,2,transfer,8,R,R,1,incorrect
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,1,R,L,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,2,L,R,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,3,L,R,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,4,R,L,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,5,L,R,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,6,R,R,0,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,7,R,L,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,pen,1,test,8,L,R,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,1,L,L,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,2,R,R,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,3,R,L,0,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,4,L,L,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,5,L,L,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,6,R,R,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,7,L,L,1,correct
15,4,55,4.583333333,four,1,penfirst,blue-right,sticker,2,transfer,8,L,L,1,correct
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,1,L,R,1,incorrect
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,2,R,L,1,incorrect
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,3,R,L,1,incorrect
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,4,L,R,1,incorrect
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,5,L,R,1,incorrect
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,6,R,R,0,incorrect
16,4,55.70394737,4.641995614,four,2,stickerfirst,blue-right,pen,2,transfer,7,L,L,0,incorrect
